序号,p_date,comment_id,评论链接,comment_content,voice_asr_text,voice_duration,show_comment_cnt_td,direct_reply_comment_cnt_td,like_comment_cnt_td,dislike_comment_cnt_td,voice_resource_id,链接,内容分,音频分,优质判断,意图表达,评论内容和语音内容的关系,语音音频和语音asr文本内容的关系,标注员
22.0,20260610.0,1138533987502.0,,听听吧[憨笑哪吒],我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令抬令抬抬肥肥胖胖是太阳，鼓鼓囊囊是三缸。风风光光小路上三个吊郎当。一个志向要做栋梁，一个挖空心思经商，一个服务器，好的实在有点太夸张。,29305.0,53221.0,46.0,409.0,4.0,FtYuU8GohWs.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
23.0,20260610.0,1135316790718.0,,听别人唱的,不忍心怪你对我太独特。无时无刻像是一首无法停止的去循环的。不明白很久了还没有变的麻烦，扛不住朋友聚会的调侃。,28012.0,53208.0,10.0,559.0,2.0,3jKIwD3_7s0.aac,,0.0,0.0,一般,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
24.0,20260610.0,1138800955254.0,,[心心][裂开]抱歉抱歉，有些真的唱错了，抱歉😊😊😊[心心],我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待命，抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右，马牙匆匆骑来到。猴鸡向着换猪狗来帮忙，哦，不对，搞错狗猪来帮忙。抓打小水晶，刚，抓打小水晶刚。肥肥胖胖是太阳，鼓鼓隆隆是山岗，红红火火小路上三个吊耳郎当。一个对象要做梁，一个研究空心司机舱，一个服务器好的实在有点夸张，呃，他这个。有一些错了，不歉不歉。,51966.0,53126.0,27.0,192.0,3.0,dBuWMoTEe3o.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
25.0,20260610.0,1134489889661.0,,这才是辣条音好吧,hello，hello，队友有麦打不打。,2553.0,53057.0,104.0,830.0,1.0,Dwk6fA7eg1M.aac,,0.0,1.0,优质,提问,相关-引导听评论,语义相等内容有差异,孙素青
26.0,20260610.0,1135234462711.0,,我的更好听哟[都市丽人],三明治，三明治，我在买新鲜的三明治。,10764.0,52933.0,40.0,275.0,3.0,DB_V2wjsRKQ.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
27.0,20260605.0,1131305913865.0,,好听嘛诡秘们 不好听也得听,OK，鬼迷们，给你们唱一首歌吧。不如穿口气吧，小大人真心很贵，龟龟不要什么都往心里去。没心没肺才能活得不累，人心很贵，你别逢人就给感情很重，你别轻易卑微。,20663.0,52832.0,125.0,1215.0,4.0,CYO7fNkLTZI.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
28.0,20260610.0,1137383028138.0,,试一下吧,三明治，三明治卖，三明治，三明治。,7096.0,52806.0,13.0,89.0,3.0,8jb_NAonngk.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
29.0,20260610.0,1133348920289.0,,,分开后我会笑着说。当朋友问你关于我。我总会轻描淡写，仿佛没爱过。,14868.0,52570.0,86.0,1057.0,4.0,vpGpi0HGRV8.aac,,0.0,1.0,优质,唱歌/朗诵,无评论内容,语义相等内容有差异,孙素青
30.0,20260604.0,1131414105908.0,,好听吗,你怎么忍心怪你对我太毒逗。无时无刻就像一把无法停止的乌云钩。扛住了柴米油盐的麻烦，扛住了朋友聚会的焦。,21037.0,52567.0,200.0,1164.0,4.0,CHlhmklfpGo.aac,,0.0,0.0,一般,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
31.0,20260610.0,1132916625425.0,,太抽了，差点把我笑死[憨笑哪吒],哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,27773.0,52512.0,139.0,1101.0,4.0,7nN60fyeUAU.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,不相关,孙素青
32.0,20260610.0,1139240861038.0,,泪水打湿数据线我去好像会导电,泪水打湿数据线，我去好像会倒电。,3759.0,52505.0,199.0,1143.0,2.0,T1tXGprk8bw.aac,,1.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
33.0,20260609.0,1131677243597.0,,带入外卖员视角真的很可怕[不听],你说你有点难追，想让我知难而退。,5389.0,52072.0,68.0,704.0,4.0,dgqWNKcohoY.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,孙素青
34.0,20260606.0,1131231449201.0,,我去，终于能发语音了,终于发语音了。,2665.0,51876.0,34.0,28.0,4.0,YGs99IqgDuA.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,完全一致,孙素青
35.0,20260610.0,1134807970129.0,,没想到是真能发了[柴犬]我以为评论区是发的表情包呢,我去，竟然能发语音了。,3466.0,51639.0,22.0,68.0,1.0,xtMoh9kiRwQ.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,语义相等内容有差异,孙素青
36.0,20260610.0,1138845258911.0,,[奸笑],奥特曼飞得慢，飞到凌晨三点半。,4083.0,51491.0,4.0,52.0,4.0,7m4utLn0EY0.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
37.0,20260610.0,1133512530815.0,,,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,11875.0,51075.0,29.0,531.0,3.0,lsuzExbHzig.aac,,1.0,1.0,优质,玩梗/搞笑,无评论内容,语义相等内容有差异,孙素青
38.0,20260610.0,1139224475986.0,,,sity spection。,2340.0,51043.0,53.0,574.0,3.0,GvYkDOcmLSI.aac,,0.0,1.0,优质,玩梗/搞笑,无评论内容,不相关,孙素青
39.0,20260610.0,1132778141999.0,,别闹，叔叔在练腹肌[憨笑哪吒],棉袄叔叔在练步机。哈哈哈。,7497.0,50963.0,26.0,94.0,2.0,mSS-hFtJBB4.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,不相关,孙素青
40.0,20260610.0,1134418735252.0,,[大哭]管我,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,6264.0,50959.0,13.0,46.0,3.0,8pryz94qCPM.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
41.0,20260610.0,1131131584935.0,,快手可以发语音了[赞],聚散。我穿过憔悴海风与东流水，这年丰碑你不过春风不作美，我是所谓。不过是间聚会，日复一晚，春秋水暑花妩媚。你爱着谁，请不要假装傻，你着眉最是相思断人肠。,26372.0,50674.0,234.0,705.0,2.0,LmcHj9MSbXQ.aac,,0.0,0.0,一般,唱歌/朗诵,相关-互为补充,语义相等内容有差异,孙素青
42.0,20260610.0,1134283433358.0,,根本没法绷住[捂脸][笑哭],哈哈哈哈哈哈哈。嗯，白菜对我一笑，不是冻死我了，啥意思，不是给我笑炸了。根本不绷，根本没有绷住，知道吗？,18974.0,50344.0,69.0,306.0,2.0,8SV4VZBwI9U.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
43.0,20260610.0,1131197830628.0,,请你们听歌把声音开到最大[色],谁把你带到人世间。是谁含辛茹苦捧一尺河床。汗水湿透了衣衫，是谁祈祷她害怕。你偷偷把泪擦干。是谁盼你归把夜望穿。,30994.0,50191.0,69.0,475.0,2.0,5BJAIjjRtxU.aac,,0.0,0.0,一般,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
44.0,20260605.0,1133102289863.0,,不喜勿喷[哭笑],你的酒馆对我打了烊。,4541.0,50009.0,58.0,183.0,4.0,B-oe20mUulw.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
45.0,20260610.0,1131255451571.0,,终于能发了[色],是谁把你带到人世间。是谁含辛茹苦供你吃喝穿。,9786.0,49937.0,39.0,252.0,1.0,QIuCbq70Hto.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
46.0,20260610.0,1135317150651.0,,听我唱的,不心怪你对我太不可，不知不何。就像一首无法停止的痴痴花呆无名的。扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。,26374.0,49921.0,9.0,452.0,1.0,HzjecdOIogk.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
47.0,20260610.0,1138963713800.0,,网恋被骗18块，从此封心不再爱[憨笑哪吒],网恋被骗18块，从此分心不再。,4371.0,49868.0,25.0,121.0,3.0,s5c26pF9vwo.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
48.0,20260610.0,1137812782394.0,,妈妈认为,是谁把你带到人世间。是谁含辛茹苦供你吃喝穿。是谁为。给你汗水湿透了衣衫，是谁，起早贪黑把腰。,19262.0,49666.0,155.0,1546.0,3.0,C6VhYAGlTCk.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
49.0,20260607.0,1134167551748.0,,,然后包括去了解了一下，嗯，就是超化那边的说是可以改编。所以呢，我其实发这个作品之前我也很忐忑，因为我知道肯定。会有人去骂我，呃，但是我确实是做了一些功课我才去发的。然后下面是我约的假发，给大家提前看一下。如果真的有什么不对的地方，也欢迎大家，嗯，也欢迎大家指正好吧。,33803.0,49468.0,24.0,983.0,4.0,2-mAKzLuA24.aac,,1.0,1.0,优质,生活分享,无评论内容,语义相等内容有差异,孙素青
50.0,20260610.0,1131270382377.0,,可以发语音啦[你好呀],哈喽哈喽。,1954.0,49263.0,84.0,597.0,2.0,hWNGqKklGwo.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,完全一致,孙素青
51.0,20260610.0,1132141400283.0,,其实后面是想弄气泡音的，但是我弄不出[爱你],叫哥哥太小了。叫叔叔太老了，叫妈妈性别不对。你仔细想想你应该叫我什么。,14478.0,49221.0,100.0,299.0,3.0,y7ln9eZcjX4.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
52.0,20260602.0,1131246904382.0,,听得到吗？我这边没声[落泪],an。,1584.0,49191.0,218.0,418.0,1.0,eVyz4lc6uVg.aac,,0.0,-1.0,劣质,发语音玩,相关-引导听评论,不相关,孙素青
53.0,20260610.0,1131634928648.0,,我去 我居然能发语音了,我去闺蜜，我的手机居然能发语音了。,5204.0,49187.0,116.0,311.0,0.0,Y5eMrAt_e1Y.aac,,0.0,1.0,优质,发语音玩,相关-互为补充,语义相等内容有差异,孙素青
54.0,20260606.0,1131944722726.0,,我是真绷不住啊[汗],哈哈哈哈。不行。不在。,8263.0,49153.0,401.0,2283.0,3.0,KvGUwFpnrkQ.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
55.0,20260606.0,1132411754270.0,,王打喷嚏,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,15171.0,49129.0,106.0,1624.0,4.0,9-CVoGqwDlc.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
56.0,20260610.0,1133458629174.0,,我也会[摸鱼],走过。不见旧颜色。寻唱着。心碎离别。南罗木。她唱须以血。熄火熄灭。不起戏幕落。过谁时快。啊。,30479.0,48906.0,126.0,1297.0,3.0,r_-NiV_s1BE.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,不相关,孙素青
57.0,20260610.0,1133127594514.0,,比比拉布，我的刀盾,哔哔喇叭，我的刀盾。,3325.0,48834.0,28.0,131.0,1.0,89bFcIPWNho.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
58.0,20260610.0,1135770316647.0,,呀呀呀呀呀，口痴了，说错词了,上一秒我在台北看烟火，下一秒你在上海和某地球。我感觉我就像我感觉你世界上的另一个我。下一秒我在玻璃落大雨，下一秒你在漫步天气，请你感受我。就像我感受你世界上的另一个我。人生到处是家，真经，变幻莫测，不逢浊音，有几个陪我等雨停南。的真心情颠倒，爱过我的圆明，谁倾听，虽然为我大浪淘沙，而你被落下。我的世界有点变化，哎呀哎呀，忘词了，忘词了这个这个。,60002.0,48803.0,201.0,2185.0,2.0,HwNy91Gt8uA.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
59.0,20260610.0,1134591723082.0,,依旧现学,十里桃花待嫁的年华凤冠的珍珠。画进头发烫香拂过。玉镯弄轻纱，空留一盏芽色的清茶。,23575.0,48683.0,161.0,1579.0,2.0,ZVpKwWzsKz0.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
60.0,20260608.0,1131167822958.0,,我去，我现在才发现,我勒个到现在了，我才发现快手是可以发语音的。,5890.0,48508.0,91.0,86.0,4.0,Cr5SnDSosxg.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,语义相等内容有差异,孙素青
61.0,20260610.0,1137139299889.0,,是这样吗,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,10455.0,48410.0,67.0,493.0,1.0,cpqnl5U8wYU.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
62.0,20260610.0,1132386547746.0,,人设不要了[都市丽人],小哥哥太小了。叫叔叔太老了。叫妈妈性别不对，所以应该叫什么。啊，叫哥哥。,16572.0,48060.0,48.0,264.0,4.0,Tfdj_9iYYOg.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
63.0,20260610.0,1134922975121.0,,有嚼劲的语言,好，有较劲的语言。,2132.0,47822.0,25.0,515.0,3.0,MTdas6JTfDo.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
64.0,20260610.0,1138851693539.0,,清唱，没有伴奏，不好听别喷哦[可怜],我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令台令台台。,14996.0,47724.0,16.0,93.0,1.0,tTtwjKb_-WE.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
65.0,20260610.0,1137724451453.0,,,当当当当当。,3025.0,47445.0,31.0,278.0,2.0,cgwDTpD3i1A.aac,,0.0,0.0,一般,玩梗/搞笑,无评论内容,不相关,孙素青
66.0,20260610.0,1132281505581.0,,蕉蕉是你吗😨天呐你的皮呢🤔谁把你害成这样了😭莓莓他夺走了我的全部😭我要报仇😡我需要一张新皮😭蕉蕉别哭☺️我们不止要给你换张皮还要让你傲视所有人☺️把24K 纯金皮焊在你身上风险很大😔特别疼😰你可能扛不住啊😵没什么比背叛更痛的了你直接焊我受得住😭啊啊啊啊啊啊啊啊啊啊😭我的天😨你简直是重生了他们绝对认不出你☺️从前那个可怜的蕉蕉已经死在雨里了😡从今天起我就是黄金女王😡你只能看我你不许看她😡小心闪瞎你的狗眼😡你懂个屁😈他浑身都是金的要是能把她追到手衣食无忧啊🤩,没有人可以一起实，你根本没爱过我脑袋空白在此刻。我写了这首歌，其实没什么舍不得，只是眼睛酸涩全是红色。把你的心给我，把你的爱给我，这样我才能打胆尝试，有更多的把握。我要的也不多，你不要嫌我啰嗦，我只是十分害怕，不小心与你错过。,31020.0,47441.0,277.0,2493.0,4.0,zEP1tFw5vWU.aac,,1.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
67.0,20260602.0,1131422342472.0,,内蒙古人打喷嚏：,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,9046.0,47404.0,144.0,1609.0,4.0,QqmwcI18e5I.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
68.0,20260610.0,1131393097118.0,,尽力了[哭笑],无时无刻像是一首无法停止单曲循环的。无名格扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。扛住了世俗生活的刁难，却扛不住对你的好喜欢。,24797.0,47293.0,143.0,1816.0,3.0,9ZJi0CRL2Ug.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
69.0,20260608.0,1131822788096.0,,妹妹：,不是打的我成认字了是不。,3107.0,47176.0,29.0,402.0,4.0,9WDMaI6TgPw.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
70.0,20260610.0,1133286191899.0,,中不中,来三明治，三明治好吃，要钱不好吃也要钱来。,5177.0,47143.0,23.0,343.0,2.0,FBwkSG38p4s.aac,,1.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
71.0,20260610.0,1132336128722.0,,,哈哈。哈哈哈哈哈哈哈。,6162.0,47027.0,480.0,1090.0,2.0,ortTAwxZdtI.aac,,0.0,0.0,一般,玩梗/搞笑,无评论内容,不相关,孙素青
72.0,20260606.0,1131259153928.0,,我知道怎么发语音了[落泪],我知道怎么发了。,3232.0,46972.0,22.0,30.0,3.0,bnXsaVWONt0.aac,,0.0,0.0,一般,发语音玩,相关-互为补充,语义相等内容有差异,孙素青
73.0,20260605.0,1131201737451.0,,,走到太空白的此刻，我写了这首歌，其实没什么舍不得，只是眼睛酸涩却是红色。把你的心给我，把你的爱给我，只要我才能大胆尝试，有更多的把握，我要的也不多。你不要嫌我啰嗦，我只是十分害怕，不小心与你错过。,23967.0,46943.0,85.0,728.0,4.0,BzZLAz9S8Nc.aac,,0.0,1.0,优质,唱歌/朗诵,无评论内容,语义相等内容有差异,孙素青
74.0,20260610.0,1131434062929.0,,,哥哥我摔倒了，原来扶我一下吧，哥哥。哥哥摔倒了，人家摔倒了，快来扶一下吧，饿。,11982.0,46706.0,189.0,558.0,4.0,gps9yYYl4PM.aac,,0.0,1.0,优质,玩梗/搞笑,无评论内容,语义相等内容有差异,孙素青
75.0,20260610.0,1135496113196.0,,我真的好崩溃啊，一发语音就这样,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,9389.0,46662.0,81.0,1522.0,4.0,hZYCXX4-PJw.aac,,1.0,1.0,优质,玩梗/搞笑,相关-互为补充,语义相等内容有差异,孙素青
76.0,20260610.0,1131261563598.0,,请你们听个[都市丽人][都市丽人][装傻],哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,11560.0,46614.0,21.0,59.0,3.0,Nd0yxPcUFGE.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
77.0,20260608.0,1134014321626.0,,这才是真正的辣条音,哈喽哈喽，队友有麦打不打呀？,2527.0,46523.0,26.0,470.0,4.0,aPIeScdQ9yg.aac,,0.0,0.0,一般,提问,相关-引导听评论,语义相等内容有差异,孙素青
78.0,20260608.0,1131432582583.0,,怎么忍心怪你,怎么忍心怪你对我太独特。无时无刻像是一首无法停止单曲循环的。无名哥。,18647.0,46476.0,107.0,783.0,1.0,urdCJTXfTko.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
79.0,20260606.0,1131877517975.0,,宝宝你们的快手能发语音吗[猪猪],我去早报你们的快手能发语音吗？,3414.0,46385.0,99.0,67.0,4.0,GsPEr6E95-g.aac,,0.0,0.0,一般,提问,相关-互为补充,语义相等内容有差异,孙素青
80.0,20260610.0,1137384003414.0,,来听我笑的咋样[色][色][色],你要去下去。哼哼哼哼哼哼哼哼哼哼。放松，放松放松。,9309.0,46177.0,424.0,1499.0,3.0,ilhbM-ODuhU.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,不相关,孙素青
81.0,20260601.0,1132496511473.0,,来拿语音接,不如喘口气吧，小大声。,3604.0,46173.0,25.0,113.0,4.0,j-hA5GerIq4.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
82.0,20260610.0,1138830068873.0,,不可能只有我能发语音吧,属虎。,1537.0,46094.0,14.0,18.0,2.0,CPtYyTbcBuY.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,不相关,孙素青
83.0,20260610.0,1136646776397.0,,宝宝们交友好不好呀[猪猪],我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待，拎抬拎抬抬肥肥胖胖是太阳，鼓鼓囊囊是山岗。风风光光小路上三个大耳郎当一个志向要做栋梁，一个挖空心似金山。一个腹泻好的实在有点太夸张。,30784.0,45893.0,57.0,786.0,0.0,UVRvIGzIEqw.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
